时间,无症状感染,现有确诊病例,死亡者
2020/4/1,1075,1863,3318
2020/4/2,1027,1727,3322
2020/4/3,1030,1562,3326
2020/4/4,1024,1376,3329
2020/4/5,1047,1299,3331
2020/4/6,1033,1242,3331
2020/4/7,1095,1190,3333
2020/4/8,1104,1160,3335
2020/4/9,1097,1116,3336
2020/4/10,1092,1089,3339
2020/4/11,1086,1138,3339
2020/4/12,1064,1156,3341
2020/4/13,1005,1170,3341
2020/4/14,1023,1137,3342
2020/4/15,1032,1107,3342
2020/4/16,1038,1081,4632
2020/4/17,1017,1058,4632
2020/4/18,999,1041,4632
2020/4/19,990,1031,4632
2020/4/20,992,1003,4632
2020/4/21,991,1005,4632
2020/4/22,984,959,4632
2020/4/23,979,915,4632
2020/4/24,983,838,4632
2020/4/25,1000,801,4632
2020/4/26,974,723,4633
2020/4/27,997,648,4633
2020/4/28,993,647,4633
2020/4/29,998,619,4633
2020/4/30,981,599,4633
2020/5/1,989,557,4633
2020/5/2,968,531,4633
2020/5/3,962,481,4633
2020/5/4,947,395,4633
2020/5/5,903,339,4633
2020/5/6,880,295,4633
2020/5/7,854,260,4633
2020/5/8,836,208,4633
2020/5/9,794,148,4633
2020/5/10,780,141,4633
2020/5/11,760,115,4633
2020/5/12,750,104,4633
2020/5/13,712,101,4633
2020/5/14,619,91,4633
2020/5/15,561,89,4633
2020/5/16,515,86,4634
2020/5/17,448,82,4634
2020/5/18,389,85,4634
2020/5/19,368,87,4634
2020/5/20,375,84,4634
2020/5/21,365,82,4634
2020/5/22,370,79,4634
2020/5/23,371,79,4634
2020/5/24,396,83,4634
2020/5/25,403,81,4634
2020/5/26,404,79,4634
2020/5/27,413,73,4634
2020/5/28,409,70,4634
2020/5/29,396,63,4634
2020/5/30,389,63,4634
2020/5/31,397,76,4634
2020/6/1,371,73,4634
2020/6/2,357,73,4634
2020/6/3,326,69,4634
2020/6/4,297,66,4634
2020/6/5,257,67,4634
2020/6/6,236,70,4634
2020/6/7,201,65,4634
2020/6/8,174,58,4634
2020/6/9,155,55,4634
2020/6/10,129,62,4634
2020/6/11,104,65,4634
2020/6/12,98,74,4634
2020/6/13,103,129,4634
2020/6/14,112,177,4634
2020/6/15,110,210,4634
2020/6/16,106,252,4634
2020/6/17,111,265,4634
2020/6/18,110,293,4634
2020/6/19,108,308,4634
2020/6/20,111,331,4634
2020/6/21,114,349,4634
2020/6/22,99,359,4634
2020/6/23,100,368,4634
2020/6/24,97,382,4634
2020/6/25,97,389,4634
2020/6/26,106,405,4634
2020/6/27,106,415,4634
2020/6/28,102,418,4634
2020/6/29,99,428,4634
2020/6/30,100,421,4634
2020/7/1,99,416,4634
2020/7/2,97,409,4634
2020/7/3,98,402,4634
2020/7/4,99,403,4634
2020/7/5,109,405,4634
2020/7/6,114,403,4634
2020/7/7,117,390,4634
2020/7/8,112,357,4634
2020/7/9,113,342,4634
2020/7/10,111,330,4634
2020/7/11,112,326,4634
2020/7/12,110,320,4634
2020/7/13,110,297,4634
2020/7/14,110,284,4634
2020/7/15,104,259,4634
2020/7/16,104,251,4634
2020/7/17,109,252,4634
2020/7/18,147,251,4634
2020/7/19,154,249,4634
2020/7/20,149,242,4634
2020/7/21,164,233,4634
2020/7/22,176,240,4634
2020/7/23,204,243,4634
2020/7/24,251,261,4634
2020/7/25,292,288,4634
2020/7/26,302,339,4634
2020/7/27,306,391,4634
2020/7/28,273,482,4634
2020/7/29,280,574,4634
2020/7/30,246,684,4634
2020/7/31,252,714,4634
2020/8/1,257,748,4634
2020/8/2,257,781,4634
2020/8/3,264,800,4634
2020/8/4,272,810,4634
2020/8/5,282,837,4634
2020/8/6,273,843,4634
2020/8/7,271,839,4634
2020/8/8,270,817,4634
2020/8/9,283,802,4634
2020/8/10,285,794,4634
2020/8/11,288,761,4634
2020/8/12,295,724,4634
2020/8/13,309,690,4634
2020/8/14,318,655,4634
2020/8/15,319,618,4634
2020/8/16,351,612,4634
2020/8/17,356,595,4634
2020/8/18,345,569,4634
2020/8/19,352,516,4634
2020/8/20,353,491,4634
2020/8/21,366,454,4634
2020/8/22,370,422,4634
2020/8/23,374,408,4634
2020/8/24,374,386,4634
2020/8/25,365,347,4634
2020/8/26,365,324,4634
2020/8/27,358,288,4634
2020/8/28,351,262,4634
2020/8/29,338,244,4634
2020/8/30,340,237,4634
2020/8/31,356,216,4634
2020/9/1,353,198,4634
2020/9/2,349,192,4634
2020/9/3,358,205,4634
2020/9/4,338,194,4634
2020/9/5,329,186,4634
2020/9/6,329,180,4634
2020/9/7,324,175,4634
2020/9/8,308,165,4634
2020/9/9,301,161,4634
2020/9/10,311,157,4634
2020/9/11,299,154,4634
2020/9/12,357,151,4634
2020/9/13,378,145,4634
2020/9/14,361,142,4634
2020/9/15,361,143,4634
2020/9/16,354,141,4634
2020/9/17,366,165,4634
2020/9/18,374,171,4634
2020/9/19,382,168,4634
2020/9/20,397,173,4634
2020/9/21,391,166,4634
2020/9/22,385,168,4634
2020/9/23,402,167,4634
2020/9/24,398,166,4634
2020/9/25,400,167,4634
2020/9/26,391,176,4634
2020/9/27,367,185,4634
2020/9/28,376,184,4634
2020/9/29,375,191,4634
2020/9/30,363,186,4634
2020/10/1,377,189,4634
2020/10/2,364,189,4634
2020/10/3,366,195,4634
2020/10/4,369,208,4634
