,D,R
2021-W45,279857,271241
2021-W46,366965,351764
2021-W47,409686,403431
2021-W48,401160,388148
2021-W49,342631,338126
2021-W50,286962,273594
2021-W51,202569,193912
2021-W52,206409,208760
2022-W1,341907,338022
2022-W2,501752,486132
2022-W3,810100,796864
2022-W4,1036578,1115213
2022-W5,1161795,1293219
2022-W6,1094701,1310822
2022-W7,987786,1194787
2022-W8,894222,1093414
2022-W9,949896,1133825
2022-W10,1215712,1414667
2022-W11,1381815,1583780
2022-W12,1285971,1589070
2022-W13,1016818,1295103
2022-W14,765813,984666
2022-W15,619853,779336
2022-W16,539360,732108
2022-W17,453118,596894
2022-W18,368548,471158
2022-W19,307510,408641
2022-W20,218415,292826
2022-W21,143841,187384
2022-W22,196318,245382
2022-W23,260044,331791
2022-W24,318213,414089
2022-W25,443342,574438
2022-W26,475710,622841
2022-W27,493816,629414
2022-W28,536032,675342
2022-W29,482317,627486
2022-W30,364544,496075
2022-W31,275433,363122
2022-W32,232879,298524
2022-W33,205798,263563
2022-W34,176269,228096
2022-W35,161140,201874
2022-W36,162184,204221
2022-W37,179595,229144
2022-W38,232784,286866
2022-W39,365430,459351
2022-W40,472279,594652
2022-W41,467963,646281
2022-W42,392942,545958
2022-W43,274312,374407
2022-W44,180532,243951
2022-W45,151833,202318
2022-W46,132017,169945
2022-W47,134061,170944
2022-W48,145942,185277
2022-W49,157865,200050
2022-W50,161034,223658
2022-W51,165754,232379
2022-W52,110631,151971
2023-W1,95653,130686
2023-W2,65202,89312
2023-W3,50230,63076
2023-W4,59787,73512
2023-W5,26433,84495
2023-W6,29532,86963
2023-W7,32885,98329
2023-W8,39694,113956
2023-W9,29499,86692
2023-W10,17466,44327
2023-W11,17692,40857
2023-W12,14836,33272
2023-W13,11320,23048
2023-W14,7079,14887
2023-W15,5974,13250
2023-W16,5355,11690
2023-W17,4641,9408
2023-W18,3328,7474
